(Не изменять) Опасность;(Не изменять) Контрольная сумма строки;(Не изменять) Дата изменения;name
fb2c090a-0626-e911-a97e-000d3a22ca8c;krlzsAXN+FR5qUuGWDIHsRpFYdW6w9oBaTazWeYaPiC2D2Rc/qIIoXTjq12h0y5JSfjwZltkU2N5O5mlyW7Agw==;01.02.2019 09:45;Наземный транспорт (вождение)
fd2c090a-0626-e911-a97e-000d3a22ca8c;3ZQESF0HHkjCZ11m8APFF0F5pleczWGeRCqsSkqLO8MUfxco+rd/X423THkOg3Puv9zl1XUYyE6ON1gOEkGz6Q==;01.02.2019 09:45;Наземный транспорт (перевозки грузов)
ff2c090a-0626-e911-a97e-000d3a22ca8c;5XzkNZPKBENme2Ue2YCAFe81jeliskfwFrUBSFSfl1PCJhvx8v4i+62eTbkoUT1ArEEaHk5hPCdpzrNALuZbcQ==;01.02.2019 09:45;Наземный транспорт (перевозки людей)
012d090a-0626-e911-a97e-000d3a22ca8c;f9qFCYUFz06s+Hna9m5wAx6Mx7uGrM9pdleH/ccEPgRk+nymzdU92bGOdIMrQLFSEufN8pIEvLe3x49gCg0tAQ==;01.02.2019 09:45;Нападение на работника другими лицами
032d090a-0626-e911-a97e-000d3a22ca8c;PhzqfsQ/HRrzcYGgcBdjNbYtYCR0f/ds2TZCGwAzJWqsTQObzMG5JW/WUiGCoiBx3W4G5klCm5r5FvhzzP6h+A==;01.02.2019 09:45;Недостаток кислорода в атмосфере
6faceb1a-3376-e911-a989-000d3a2bccc5;KvnVQb0QAdb6/3cB6NVfqPqNhSaCSiqFwlWmy9veTcaGG/DntpuUI0Dj61VY+PccIoCd5z0SMBYgJ7kpjdlMnw==;14.05.2019 10:29;Недостаточная квалификация работника(ов)
052d090a-0626-e911-a97e-000d3a22ca8c;7x9rFLKpHB8tTc9mLuHsWYbYUyXRiCJ734b49qr9OcD2Qk+hnb+d7ZNL3YAa7ID7frLmM4aMkR04kbtGhxHwOQ==;01.02.2019 09:45;Недостаточное освещение
7195a465-2176-e911-a989-000d3a2bccc5;uRdUlNv49aWBAJDWctXoOX/VtC1YtJcdu8UAgtT2m1lby/Xg4W1RJP7Fzq6n63fOnNG8BN4yi8+SBZssin8opg==;14.05.2019 08:22;Неисправность приборов и устройств безопасности
072d090a-0626-e911-a97e-000d3a22ca8c;J4FXIYxJXoJ4xMYqaUT8uCp8+EkDUR6I50JjazXjVrsqSMM6RHkxvs/ZP2ThGQ5AzJJ3/6JxFYnOFrJts1H0sQ==;01.02.2019 09:45;Нейтронное излучение (закрытые источники)
092d090a-0626-e911-a97e-000d3a22ca8c;7J7BWFzUnLOJG3O1MUTnEV9mb84Y/Bq+tSG6jYIyqOwYFV1n8SQoXyMjye2/yYH1W9WMhZhCFb7em3lp1IUchw==;01.02.2019 09:45;Нейтронное излучение (открытые источники)
0b2d090a-0626-e911-a97e-000d3a22ca8c;RIc8h1L+8qLjXrrHyH/UpzNzpxI2nO9ZgCIBjS2MOsBihajuezLdhXivDLAG9gKQRg6dG9HJfpIKZwN+Bp14Ww==;01.02.2019 09:45;Неправильные действия при возникновении аварийной ситуации
0d2d090a-0626-e911-a97e-000d3a22ca8c;GoY32L1t902OtYfVGL8o93vLLEMAUUSw76kPHWrtwJfuSkatiNqTZ4Qi5XTAGzXNVDzieHd4sJxBH3cnMOwY9Q==;01.02.2019 09:45;Непригодность по состоянию здоровья
144f792f-2176-e911-a989-000d3a2bccc5;+3ZJGM0JNnMNe95hSuJ2yDnnIVKGf4nXWnmCqayI3SEHz0895y2HeEgh70e61vUiK7IrGt2Ny8eo0meejAawfQ==;14.05.2019 08:20;Неровности полов, площадок, путей следования и пр.
0f2d090a-0626-e911-a97e-000d3a22ca8c;+TE7fBGG+M8EluWGKPLqupL/NPcfHAlVCP7eJzIv/+FIf3D293tDoFb6dk3bblcVUYO0qvZVFMjAIGe7ewnXsg==;01.02.2019 09:45;Несоответствие работы способности восприятия ситуации
112d090a-0626-e911-a97e-000d3a22ca8c;buOH35yqtir85JZR+FniplkrxhwwLSTJIc+orpjrDJtdwRrCvQNpb0bO/kFIm+KuGDItu+4DZkzshmUES1fnjA==;01.02.2019 09:45;Несоответствие работы физическим данным
132d090a-0626-e911-a97e-000d3a22ca8c;8q9uzgWjncK2XfI17lFbYwKEnf54+EfmoZazsGvQ+NWzU9NaWFsKj7AB5oU8TuAuMyORtQDrx0ixHeYTl4XmWw==;01.02.2019 09:45;Неудобное расположение рабочих мест и машинного оборудования
1cf4b5e2-3376-e911-a989-000d3a2bccc5;tIKTcLXM5za58SQKEh1jval/QoJiV1Voww3lLGHSeDI8z3Ep6dDnS/npwoRINkDPNS4EUgJlrBSoCqFeRTtkZA==;14.05.2019 10:34;Неустойчивое положение оборудования, материалов и пр.
152d090a-0626-e911-a97e-000d3a22ca8c;kZGtFKv7CoOari74cp0MOIbacW+Twl8XlGQqVa77uNE9lxPvYfyMhyEXJCz2TlPOgBF5jNZAwUaIdGQtUBB5Hw==;01.02.2019 09:45;Обезжириватели (терпены)
172d090a-0626-e911-a97e-000d3a22ca8c;95I3awIy4DnIP57DNbuAeW0d89ZtpOozI/CtXV5iAeVPSTWf2TYQsx9pASBnH+wLT8qjQBmDQyAz+OebvUszBQ==;01.02.2019 09:45;Оборудование с движущимися/вращающимися частями 
192d090a-0626-e911-a97e-000d3a22ca8c;8Sh/n3Z+gIPIWb7EyEiNhIQtjfrgsobN/aT9lnpHhhHK4VVAVZZr0+f9R+H7+iqvHFPpAAvKadUo4J39Zsw6LA==;01.02.2019 09:45;Обращение с материалами вручную
1b2d090a-0626-e911-a97e-000d3a22ca8c;VeX2GfrapcCP7+IPOWNROa+HdY3B5Ul6h3yR37agIaMELc3GiYYw+/QyD7AJOkJk0RyJoMirJZ4YrdKMwND2YA==;01.02.2019 09:45;Обрыв стропов/канатов
1d2d090a-0626-e911-a97e-000d3a22ca8c;t8wDlZGhcNpfgo6zwN9Sg5pZO+JNlf3I/HfFn5t1Mgip8HTW7mzsvKDd9QievAzAnpxikM30hZFa5hlQEYa1AA==;01.02.2019 09:45;Объекты под индуцированным напряжением
1f2d090a-0626-e911-a97e-000d3a22ca8c;4o2Bdn3G8XOl8x+VWVa96T3jMcJopQn8e5VyF+aA7dFKwUcZKKEjhbbMCkle7DpeK9slunDUhVHWYWjbgnlJmw==;01.02.2019 09:45;Обычные взрывчатые вещества
212d090a-0626-e911-a97e-000d3a22ca8c;T8cehKGh45JTNjf8Og/7ftxzBsRX9Wnw8nLWo/94+Wa+OVYhTo9LXeCo+R1mPxObNHew89FKj67mamLFcbqWSQ==;01.02.2019 09:45;Огневые работы
232d090a-0626-e911-a97e-000d3a22ca8c;77SAwdVB2FFiy35bz4lJDnhnNl9+doZbquaguJ9FF1o1sYrE5PXZ/HLCz9QpfUqoY1HkIw+h9p/ARw288dqm4A==;01.02.2019 09:45;Одоранты (меркаптаны)
